/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency; */
/*              +Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmmister operands and that instruction having a memory operand. */
/*  Any instruction that has a memory operand as its second operand is a */
/*  LOAD. Instructions with an * in front of them means that the operands */
/*  must be inspected before you can tell which        */
/*  execution it will use and, therefore, its latency. */

/* WALEED: notes, I'm making a line for each unique combination of operands */
/*   I'm also removing the memory + latency because that should be taken care of in the model and since */
/*   We are reading a detailed instruction mix, each line of which should hit in exactly one line here */ 
/* also, replaced all CL/.. references with 'reg' and constant '1''s with 'imm'
// all entries with unspecified reg size, replaced to reg8/16/32/64
// finally, entries with unspecified 'mem' size also replaced to mem8/mem16/mem32/mem64

*MOVDQU  mem,xmm         MOV     vector  FSTORE           3  0   1/2  FSTORE-3
*MOVDQU  xmm,mem         MOV     single  FADD/FMUL/FSTORE 2  0   2/1  FLOAD-2
MOVHLPS  xmm,xmm         MOV     single  FADD/FMUL  2    0    2/1   FADD-2
MOVHLPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FADD-2
MOVHLPS  mem,xmm         MOV     single  FSTORE     2    0    1/1   FADD-2
*MOVHPD  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVHPD  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVHPS  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVHPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
MOVLHPS  xmm,xmm         MOV     single  FADD/FMUL  2    0    2/1   FADD-2
MOVLHPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FADD-2
MOVLHPS  mem,xmm         MOV     single  FSTORE     2    0    1/1   FADD-2
*MOVLPD  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVLPD  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVLPS  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVLPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
MOVMSKPD reg32/reg64,xmm         MOV     single  FADD       3    0    1/1   FADD-3
MOVMSKPS reg32/reg64,xmm         MOV     single  FADD       3    0    1/1   FADD-3
/* The instruction latency is not given for these instructions in manual */
/* 40546.pdf, pg 261               */
MOVNTDQ  mem,xmm         MOV     double  FSTORE     3   0    1/1  FSTORE-X
MOVNTPD  mem,xmm         MOV     double  FSTORE     3   0    1/3  FSTORE-X
MOVNTPS  mem,xmm         MOV     double  FSTORE     3   0    1/3  FSTORE-X
MOVNTSD  mem,xmm         MOV     double  FSTORE     3   0    1/1  FSTORE-X
MOVNTSS  mem,xmm         MOV     double  FSTORE     3   0    1/1  FSTORE-X
MOVNTQ   mem,mm          MOV     single  FSTORE     3   0    1/1  FSTORE-X
*MOVQ    xmm,xmm         MOV     single  FADD/FMUL/FSTORE  2   0   3/1   FADD-2
*MOVQ    xmm/mm,reg64    MOV     double  FMUL&ALU          6  0   1/3  ALU-6
*MOVQ    reg64,xmm/mm    MOV     single  FADD              3  0   1/1  FADD-3
*MOVQ    mm,mm           MOV     single  FADD/FMUL/FSTORE  2   0   2/1   FADD-2
*MOVQ    mem,xmm/mm      MOV     single  FSTORE            2   0   1/1   FSTORE-2
*MOVQ    xmm,mem         MOV     single  FSTORE            2   0   2/1   FLOAD-2
*MOVQ    mm,mem          MOV     single  FADD/FMUL/FSTORE  4   0   2/1   FLOAD-4
MOVQ2DQ  xmm,mm          MOV     single  FADD/FMUL 2   0   3/1   FADD-2
*MOVSD   xmm,xmm         MOV     single  FADD/FMUL              2    0    2/1   FADD-2
*MOVSD   xmm,mem         MOV     single  FADD/FMUL/FSTORE       2    0    2/1   FLOAD-2
*MOVSD   mem,xmm         MOV     single  FSTORE                 2    0    1/1   FSTORE-2
*MOVSS   xmm,xmm         MOV     single  FADD/FMUL              2    0    2/1   FADD-2
*MOVSS   mem,xmm         MOV     single  FSTORE                 2    0    1/1   FSTORE-2
*MOVSS   xmm,mem         MOV     single  FADD/FMUL/FSTORE       2    0    2/1   FLOAD-2
*MOVSHDUP xmm,xmm        MOV     single  FADD/FMUL              2    0    2/1   FADD-2
*MOVSHDUP xmm,mem        MOV     single  FADD/FMUL/FSTORE       2    0    2/1   FLOAD-2
*MOVSLDUP xmm,xmm        MOV     single  FADD/FMUL              2    0    2/1   FADD-2
*MOVSLDUP xmm,mem        MOV     single  FADD/FMUL/FSTORE       2    0    2/1   FLOAD-2
*MOVUPD  xmm,xmm         MOV     single  FADD/FMUL/FSTORE       2   0   2/1   FADD-2
*MOVUPD  mem,xmm         MOV     vector  FSTORE                 3   0   1/2   FSTORE-3
*MOVUPD  xmm,mem         MOV     single  FADD/FMUL/FSTORE       2   0   2/1   FLOAD-2
*MOVUPS  xmm,xmm         MOV     single  FADD/FMUL/FSTORE       2   0   2/1   FADD-2
*MOVUPS  mem,xmm         MOV     vector  FSTORE                 3   0   1/2   FSTORE-3
*MOVUPS  xmm,mem         MOV     single  FADD/FMUL/FSTORE       2   0   2/1   FLOAD-2


CMPPD    xmm,xmm,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPPD    xmm,mem,imm     ADD     single  FADD       2    2    1/1   FADD-2
CMPPS    xmm,xmm,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPPS    xmm,mem,imm     ADD     single  FADD       2    2    1/1   FADD-2
CMPSD    xmm,xmm,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPSD    xmm,mem,imm     ADD     single  FADD       2    2    1/1   FADD-2
CMPSS    xmm,xmm,imm     ADD     single  FADD       2    0    1/1   FADD-2
CMPSS    xmm,mem,imm     ADD     single  FADD       2    2    1/1   FADD-2
MAXPD    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MAXPD    xmm,mem         ADD     single  FADD       2    2    1/1   FADD-2
MAXPS    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MAXPS    xmm,mem         ADD     single  FADD       2    2    1/1   FADD-2
MAXSD    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MAXSD    xmm,mem         ADD     single  FADD       2    2    1/1   FADD-2
MAXSS    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MAXSS    xmm,mem         ADD     single  FADD       2    2    1/1   FADD-2
MINPD    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MINPD    xmm,mem         ADD     single  FADD       2    2    1/1   FADD-2
MINPS    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MINPS    xmm,mem         ADD     single  FADD       2    2    1/1   FADD-2
MINSD    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MINSD    xmm,mem         ADD     single  FADD       2    2    1/1   FADD-2
MINSS    xmm,xmm         ADD     single  FADD       2    0    1/1   FADD-2
MINSS    xmm,mem         ADD     single  FADD       2    2    1/1   FADD-2

PFCMPEQ  mm,mm           ADD     single  FADD       2    0    1/1   FADD-2
PFCMPGE  mm,mm           ADD     single  FADD       2    0    1/1   FADD-2
PFCMPGT  mm,mm           ADD     single  FADD       2    0    1/1   FADD-2
PFMAX    mm,mm           ADD     single  FADD       2    0    1/1   FADD-2
PFMIN    mm,mm           ADD     single  FADD       2    0    1/1   FADD-2

EXTRQ    xmm,xmm/imm,imm ADD     single  FADD/FMUL         2    0    2/1   FADD-2
EXTRQ    mem,xmm/imm,imm ADD     single  FADD/FMUL/FSTORE  2    0    2/1   FADD-2

*PACKSSDW mm,xmm/mm      ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKSSDW mm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
*PACKSSWB mm,xmm/mm      ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKSSWB mm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
*PACKUSWB mm,xmm/mm      ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKUSWB mm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
*PACKSSDW mm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
*PACKSSWB xmm,xmm/mm     ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKUSWB xmm,xmm/mm     ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKSSDW xmm,mem        ADD     single  FADD/FMUL  2    2    2/1   FADD-2
*PACKSSWB xmm,mem        ADD     single  FADD/FMUL  2    2    2/1   FADD-2
*PACKUSWB xmm,mem        ADD     single  FADD/FMUL  2    2    2/1   FADD-2

PADDB    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDW    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDD    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDQ    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDSB   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDSW   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDUSB  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDUSW  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PAVGB    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PAVGW    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PAVGUSB  mm,mm           ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPEQB  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPEQW  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPEQD  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPGTB  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPGTW  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPGTD  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PMAXSW   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PMAXUB   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PMINSW   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PMINUB   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2  

PADDB    xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDW    xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDD    xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDQ    xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDSB   xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDSW   xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDUSB  xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PADDUSW  xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PAVGB    xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PAVGW    xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PAVGUSB  mm,mem       ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPEQB  xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPEQW  xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPEQD  xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPGTB  xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPGTW  xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PCMPGTD  xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PMAXSW   xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PMAXUB   xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PMINSW   xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PMINUB   xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2  

PSHUFD   xmm,xmm,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSHUFD   xmm,mem,imm         ADD     single  FADD/FMUL  3    2    2/1   FADD-2

PSHUFW   mm,mm,imm           ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSHUFHW  xmm,xmm,imm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSHUFLW  xmm,xmm,imm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSLLW    xmm/mm,xmm/mm/imm   ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSLLD    xmm/mm,xmm/mm/imm   ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSLLQ    xmm/mm,xmm/mm/imm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSLLDQ   xmm,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSRAW    xmm,xmm/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRAD    xmm,xmm/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRLW    xmm,xmm/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRLD    xmm,xmm/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRLQ    xmm,xmm/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRAW    mm,mm/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRAD    mm,mm/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRLW    mm,mm/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRLD    mm,mm/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRLQ    mm,mm/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRLDQ   xmm,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSUBB    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBW    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBD    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBQ    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBSB   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBSW   xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBUSB  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBUSW  xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSWAPD   mm,mm           ADD     single  FADD/FMUL  2    0    2/1   FADD-2


PSHUFW   mm,mem,imm           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFHW  xmm,mem,imm          ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSHUFLW  xmm,mem,imm          ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSLLW    xmm/mm,mem           ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PSLLD    xmm/mm,mem           ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PSLLQ    xmm/mm,mem           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSRAW    xmm,mem              ADD single  FADD/FMUL  3    2    2/1   FADD-2
PSRAD    xmm,mem              ADD single  FADD/FMUL  3    2    2/1   FADD-2
PSRLW    xmm,mem              ADD single  FADD/FMUL  3    2    2/1   FADD-2
PSRLD    xmm,mem              ADD single  FADD/FMUL  3    2    2/1   FADD-2
PSRLQ    xmm,mem              ADD single  FADD/FMUL  3    2    2/1   FADD-2
PSRAW    mm,mem               ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSRAD    mm,mem               ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSRLW    mm,mem               ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSRLD    mm,mem               ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSRLQ    mm,mem               ADD single  FADD/FMUL  2    2    2/1   FADD-2
PSUBB    xmm/mm,mem           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBW    xmm/mm,mem           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBD    xmm/mm,mem           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBQ    xmm/mm,mem           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBSB   xmm/mm,mem           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBSW   xmm/mm,mem           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBUSB  xmm/mm,mem           ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PSUBUSW  xmm/mm,mem           ADD     single  FADD/FMUL  2    2    2/1   FADD-2


PUNPCKHBW mm,mm  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKHWD mm,mm  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKHDQ mm,mm  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKLBW mm,mm  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKLWD mm,mm  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKLDQ mm,mm  ADD     single  FADD/FMUL  2    0    2/1   FADD-2

PUNPCKHBW mm,mem  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHWD mm,mem  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKHDQ mm,mem  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLBW mm,mem  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLWD mm,mem  ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PUNPCKLDQ mm,mem  ADD     single  FADD/FMUL  2    2    2/1   FADD-2


PUNPCKHBW xmm,xmm  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKHWD xmm,xmm  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKHDQ xmm,xmm  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKLBW xmm,xmm  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKLWD xmm,xmm  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKLDQ xmm,xmm  ADD     single  FADD/FMUL  3    0    2/1   FADD-2


PUNPCKHBW xmm,mem  ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PUNPCKHWD xmm,mem  ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PUNPCKHDQ xmm,mem  ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PUNPCKLBW xmm,mem  ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PUNPCKLWD xmm,mem  ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PUNPCKLDQ xmm,mem  ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PUNPCKHQDQ xmm,xmm       ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKLQDQ xmm,xmm       ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKHQDQ xmm,mem       ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PUNPCKLQDQ xmm,mem       ADD     single  FADD/FMUL  3    2    2/1   FADD-2
PXOR     xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PAND     xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PANDN    xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
POR      xmm/mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PXOR     xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PAND     xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PANDN    xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
POR      xmm/mm,mem   ADD     single  FADD/FMUL  2    2    2/1   FADD-2
SHUFPD   xmm,xmm,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2
SHUFPS   xmm,xmm,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2
SHUFPD   xmm,mem,imm         ADD     single  FADD/FMUL  3    2    2/1   FADD-2
SHUFPS   xmm,mem,imm         ADD     single  FADD/FMUL  3    2    2/1   FADD-2
UNPCKHPD xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
UNPCKHPS xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
UNPCKLPD xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
UNPCKLPS xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
XORPD    xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
XORPS    xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ORPD     xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ORPS     xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ANDPD    xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ANDPS    xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ANDNPD   xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ANDNPS   xmm,xmm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
UNPCKHPD xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKHPS xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKLPD xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
UNPCKLPS xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
XORPD    xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
XORPS    xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ORPD     xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ORPS     xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ANDPD    xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ANDPS    xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ANDNPD   xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
ANDNPS   xmm,mem         ADD     single  FADD/FMUL  2    2    2/1   FADD-2
PMOVMSKB reg32/reg64,xmm/mm      ADD     single  FADD       3    0    1/1   FADD-3

COMISD   xmm,xmm         ADD     single  FADD       3    0    1/1   FADD-3
COMISS   xmm,xmm         ADD     single  FADD       3    0    1/1   FADD-3
PSADBW   xmm/mm,xmm/mm   ADD     single  FADD       3    0    1/1   FADD-3
UCOMISD  xmm,xmm         ADD     single  FADD       3    0    1/1   FADD-3
UCOMISS  xmm,xmm         ADD     single  FADD       3    0    1/1   FADD-3
ADDPD    xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
ADDPS    xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
ADDSD    xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
ADDSS    xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
SUBPD    xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
SUBPS    xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
SUBSD    xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
SUBSS    xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
ADDSUBPD xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
ADDSUBPS xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
HADDPD   xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
HADDPS   xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
HSUBPD   xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4
HSUBPS   xmm,xmm         ADD     single  FADD       4    0    1/1   FADD-4


COMISD   xmm,mem         ADD     single  FADD       3    2    1/1   FADD-3
COMISS   xmm,mem         ADD     single  FADD       3    2    1/1   FADD-3
PSADBW   xmm/mm,mem      ADD     single  FADD       3    2    1/1   FADD-3
