CMP 8 mem, imm      		133                 		0.000021            
AND 32 imm          		132                 		0.000021            
MOVSXD 64 reg, mem  		126                 		0.000020            
JNB 32 ptr          		125                 		0.000020            
CMPSB 64            		122                 		0.000019            
ADC 64 reg, imm     		120                 		0.000019            
SUB 64 reg, mem     		118                 		0.000019            
JNS 32 ptr          		1                   		0.000000            
SUB 64 mem, imm     		1                   		0.000000            
ROR 64 reg, imm     		1                   		0.000000            
SETNBE 8 reg        		1                   		0.000000            
UCOMISD 64 reg, mem 		1                   		0.000000            
MOVSD_XMM 128 reg, mem		3                   		0.000000            
ADD 64 mem, imm     		110                 		0.000017            
XORPD 128 reg, reg  		1                   		0.000000            
ADD 32 reg, reg     		108                 		0.000017            
DEC 32 mem          		1                   		0.000000            
CMPXCHG 32 mem, reg 		1                   		0.000000            
PUSH 64 mem         		1                   		0.000000            
PUSH 32 imm         		1                   		0.000000            
CMP 16 mem, imm     		103                 		0.000016            
SAR 64 reg          		2                   		0.000000            
JLE 8 ptr           		101                 		0.000016            
IDIV 64 reg         		1                   		0.000000            
TEST 16 reg, imm    		2                   		0.000000            
CMP 32 reg, mem     		98                  		0.000016            
SETNLE 8 reg        		3                   		0.000000            
SHR 32 reg          		1                   		0.000000            
BSR 32 reg, reg     		1                   		0.000000            
IMUL 64 reg, reg, imm		94                  		0.000015            
TEST 32 imm         		90                  		0.000014            
BT 32 reg, reg      		89                  		0.000014            
DIV 64 reg          		91                  		0.000014            
TEST 32 mem, reg    		89                  		0.000014            
SAR 64 reg, imm     		89                  		0.000014            
CMOVZ 64 reg, reg   		88                  		0.000014            
CMP 16 mem, reg     		1                   		0.000000            
TEST 32 mem, imm    		4                   		0.000001            
CPUID 64            		10                  		0.000002            
OR 8 reg, reg       		3                   		0.000000            
CMOVNZ 32 reg, mem  		3                   		0.000000            
CMOVB 64 reg, reg   		2                   		0.000000            
AND 16 reg, imm     		3                   		0.000000            
MOV 8 mem, reg      		80                  		0.000013            
AND 8 mem, imm      		8                   		0.000001            
DEC 64 reg          		4                   		0.000001            
CMOVB 32 reg, reg   		77                  		0.000012            
MOVSX 64 reg, mem   		8                   		0.000001            
SYSCALL 64          		75                  		0.000012            
JNLE 32 ptr         		7                   		0.000001            
MOVZX 64 reg, reg   		7                   		0.000001            
SHL 32 reg, imm     		4                   		0.000001            
CMP 16 reg, imm     		1                   		0.000000            
JB 32 ptr           		2                   		0.000000            
TEST 64 mem, reg    		1                   		0.000000            
JNLE 8 ptr          		10                  		0.000002            
CMP 32 reg, reg     		64                  		0.000010            
NEG 64 reg          		64                  		0.000010            
MOV 16 mem, reg     		64                  		0.000010            
OR 64 reg, reg      		64                  		0.000010            
CMP 32 mem, reg     		18                  		0.000003            
JNL 8 ptr           		8                   		0.000001            
MOVSX 32 reg, reg   		24                  		0.000004            
JMP 64 mem          		60                  		0.000010            
MOV 8 mem, imm      		59                  		0.000009            
SUB 32 reg, reg     		13                  		0.000002            
JS 8 ptr            		4                   		0.000001            
OR 32 mem, reg      		8                   		0.000001            
SETNZ 8 mem         		1                   		0.000000            
ROL 64 reg, imm     		12                  		0.000002            
XOR 64 reg, mem     		13                  		0.000002            
MOVDQA 128 mem, reg 		3                   		0.000000            
MOVD 128 reg, mem   		3                   		0.000000            
SHR 32 reg, imm     		15                  		0.000002            
INC 32 reg          		6                   		0.000001            
TEST 32 reg, imm    		17                  		0.000003            
BSF 32 reg, reg     		5                   		0.000001            
PMOVMSKB 128 reg, reg		30                  		0.000005            
DEC 32 reg          		45                  		0.000007            
PCMPEQB 128 reg, reg		30                  		0.000005            
MOVDQA 128 reg, reg 		15                  		0.000002            
PSHUFD 128 reg, reg, imm		8                   		0.000001            
MOVDQA 128 reg, mem 		15                  		0.000002            
OR 32 reg, imm      		30                  		0.000005            
PUNPCKLBW 128 reg, reg		10                  		0.000002            
JB 8 ptr            		38                  		0.000006            
MOVD 128 reg, reg   		5                   		0.000001            
PXOR 128 reg, reg   		6                   		0.000001            
MUL 64 reg          		3                   		0.000000            
MOV 64 reg, imm     		34                  		0.000005            
MOVSXD 64 reg, reg  		21                  		0.000003            
AND 64 reg, imm     		32                  		0.000005            
NEG 32 reg          		31                  		0.000005            
OR 64 reg, imm      		30                  		0.000005            
SHL 32 reg          		10                  		0.000002            
SHL 64 reg          		2                   		0.000000            
AND 64 reg, mem     		7                   		0.000001            
SETNZ 8 reg         		22                  		0.000003            
JLE 32 ptr          		3                   		0.000000            
JS 32 ptr           		7                   		0.000001            
SCASB 64            		16                  		0.000003            
TEST 16 reg, reg    		3                   		0.000000            
ADD 32 mem, imm     		20                  		0.000003            
IMUL 64 reg, reg    		18                  		0.000003            
RDTSC 64            		19                  		0.000003            
SAR 32 reg          		18                  		0.000003            
AND 8 reg, imm      		3                   		0.000000            
SUB 32 mem, imm     		8                   		0.000001            
CALL_NEAR 64 mem    		15                  		0.000002            
CMOVNBE 64 reg, reg 		14                  		0.000002            
MOV 8 reg, imm      		4                   		0.000001            
OR 8 mem, imm       		11                  		0.000002            
ADD 64 mem, reg     		11                  		0.000002            
NOP 64              		9                   		0.000001            
CALL_NEAR 64 reg    		9                   		0.000001            
CMOVNZ 64 reg, reg  		8                   		0.000001            
CMOVNZ 32 reg, reg  		6                   		0.000001            
NOT 64 reg          		6                   		0.000001            
ADD 32 imm          		3                   		0.000000            
SBB 64 reg, reg     		4                   		0.000001            
CDQE 64             		1                   		0.000000            
CMOVBE 64 reg, reg  		1                   		0.000000            
NOT 32 reg          		1                   		0.000000            
OR 32 mem, imm      		0                   		0.000000            
TOTAL               		629239155           		100.000000          
