/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency;+Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means that there is always a 2-cycle difference */
/*  between that instruction have only xmmister operands and that instruction having a memory operand.               */
/*  Any instruction that has a memory operand as its second operand is a LOAD.					     */
/*  Instructions with an * in front of them means that the operands must be inspected before you can tell which      */
/*  execution it will use and, therefore, its latency.  							     */

HADDPS   xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
HSUBPD   xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
HSUBPS   xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
PF2ID    mm,mm           single  single  FADD       4    2    1/1   FADD-4
PF2IW    mm,mm           single  single  FADD       4    2    1/1   FADD-4
PFACC    mm,mm           single  single  FADD       4    2    1/1   FADD-4
PFADD    mm,mm           single  single  FADD       4    2    1/1   FADD-4
PFNACC   mm,mm           single  single  FADD       4    2    1/1   FADD-4
PFPNACC  mm,mm           single  single  FADD       4    2    1/1   FADD-4
PFSUB    mm,mm           single  single  FADD       4    2    1/1   FADD-4
PFSUBR   mm,mm           single  single  FADD       4    2    1/1   FADD-4
PI2FD    mm,mm           single  single  FADD       4    2    1/1   FADD-4
PI2FW    mm,mm           single  single  FADD       4    2    1/1   FADD-4
SUBPD    xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
SUBPS    xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
SUBSD    xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
SUBSS    xmm,xmm         single  single  FADD       4    2    1/1   FADD-4
*PINSRW  xmm,reg,imm     single  single  FADD/FMUL  4    0    1/1   FADD-4


*PINSRW  xmm,reg,imm     double  double  FADD/FMUL  9    0    1/1   FADD-9


*MOVAPD  mem,xmm         double  double  FSTORE     2    0    1/1   FSTORE-2
*MOVAPS  mem,xmm         double  double  FSTORE     2    0    1/1   FSTORE-2
*MOVD    mem,xmm/mm      single  single  FSTORE     2    0    1/1   FSTORE-2
*MOVHPD  mem,xmm         single  single  FSTORE     2    0    1/1   FSTORE-2
*MOVHPS  mem,xmm         single  single  FSTORE     2    0    1/1   FSTORE-2
*MOVLPD  mem,xmm         single  single  FSTORE     2    0    1/1   FSTORE-2
*MOVLPS  mem,xmm         single  single  FSTORE     2    0    1/1   FSTORE-2
*MOVQ    mem,xmm/mm      single  single  FSTORE     2    0    1/99  FSTORE-2
*MOVSD   mem,xmm         single  single  FSTORE     2    0    1/1   FSTORE-2
*MOVSS   mem,xmm         single  single  FSTORE     2    0    1/1   FSTORE-2

/*  The instruction latency is not given for these instructions in manual 40546.pdf, pg 261               */
MOVNTDQ  mem,xmm         double  double  FSTORE     99   0    1/99  FSTORE-X
MOVNTPD  mem,xmm         double  double  FSTORE     99   0    1/99  FSTORE-X
MOVNTPS  mem,xmm         double  double  FSTORE     99   0    1/99  FSTORE-X
MOVNTSD  mem,xmm         double  double  FSTORE     99   0    1/99  FSTORE-X
MOVNTSS  mem,xmm         double  double  FSTORE     99   0    1/99  FSTORE-X
MOVNTQ   mem,mm          single  single  FSTORE     99   0    1/99  FSTORE-X


*MOVDQU  mem,xmm         vector  vector  FSTORE     3    0    1/2   FSTORE-3
*MOVUPS  mem,xmm         vector  vector  FSTORE     3    0    1/2   FSTORE-3


*MOVAPD  xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVAPS  xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVD    xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVDDUP xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVDQA  xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVDQU  xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVQ    xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVSD   xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVSHDUP xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVSLDUP xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVSS   xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
*MOVUPS  xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2
LDDQU    xmm,mem         single  single  NONE       2    0    2/1   FLOAD-2


*MOVHPD  xmm,mem         single  single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVHPS  xmm,mem         single  single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVLPD  xmm,mem         single  single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVLPS  xmm,mem         single  single  FADD/FMUL  4    0    2/1   FLOAD-4
/*  No throughput was given for these instructions in the 40546.pdf manual, pg 260                       */
*MOVD    mm,mem          single  single  FADD/FMUL/FSTORE 4    0    1/99  FLOAD-4
*MOVQ    mm,mem          single  single  FADD/FMUL/FSTORE 4    0    1/99  FLOAD-4


/*  No throughput was given in th e40546.pdf manual, pg. 260, for this instruction                       */
*MOVD    xmm/mm,reg      double  double  NONE       6    0    1/99  NONE-6


CVTPS2PD xmm,xmm         single  single  FSTORE     2    2    1/1   REGWRITE-2


CVTDQ2PD xmm,xmm         single  single  FSTORE     4    2    1/1   REGWRITE-4
CVTDQ2PS xmm,xmm         single  single  FSTORE     4    2    1/1   REGWRITE-4
CVTPI2PD xmm,mm          single  single  FSTORE     4    2    1/1   REGWRITE-4
CVTPS2DQ xmm,xmm         single  single  FSTORE     4    2    1/1   REGWRITE-4
CVTTPS2DQ xmm,xmm         single  single  FSTORE     4    2    1/1   REGWRITE-4
CVTPS2PI mm,xmm          single  single  FSTORE     4    2    1/1   REGWRITE-4
CVTTPS2PI mm,xmm          single  single  FSTORE     4    2    1/1   REGWRITE-4


PEXTRW   reg,xmm/mm,imm  double  double  FADD&FSTORE 6    0    1/1   REGWRITE-6


CVTPD2DQ xmm,xmm         double  double  (FADD/FMUL)&FSTORE 7    2    1/1   REGWRITE-7
CVTTPD2DQ xmm,xmm         double  double  (FADD/FMUL)&FSTORE 7    2    1/1   REGWRITE-7
CVTPD2PI mm,xmm          double  double  (FADD/FMUL)&FSTORE 7    2    1/1   REGWRITE-7
CVTTPD2PI mm,xmm          double  double  (FADD/FMUL)&FSTORE 7    2    1/1   REGWRITE-7
CVTPD2PS xmm,xmm         double  double  (FADD/FMUL)&FSTORE 7    2    1/1   REGWRITE-7
CVTPI2PS xmm,mm          double  double  (FADD/FMUL)&FSTORE 7    2    1/1   REGWRITE-7
*CVTSS2SD xmm,xmm         vector  vector  (FADD/FMUL)&FSTORE 7    0    1/99  REGWRITE-7
*CVTSS2SD xmm,mem         double  double  (FADD/FMUL)&FSTORE 7    0    1/99  REGWRITE-7


/*  This is actually not quite correct.  There's an 8-cycle that uses the vector path, no mem operand;         */
/* There's a 9-cycle that uses the double path and has a memory operand.  Probably rarely occurs.              */
CVTSD2SS xmm,xmm         double  double  (FADD/FMUL)&FSTORE 8    1    1/1   REGWRITE-8
CVTSD2SI reg,xmm         double  double  FADD&FSTORE 8    2    1/1   REGWRITE-8
CVTTSD2SI reg,xmm         double  double  FADD&FSTORE 8    2    1/1   REGWRITE-8
CVTSS2SI reg,xmm         double  double  FADD&FSTORE 8    2    1/1   REGWRITE-8
CVTTSS2SI reg,xmm         double  double  FADD&FSTORE 8    2    1/1   REGWRITE-8

*CVTSI2SD xmm,mem         double  double  (FADD/FMUL)&FSTORE 9    0    1/1   REGWRITE-9
*CVTSI2SS xmm,mem         double  double  (FADD/FMUL)&FSTORE 9    0    1/1   REGWRITE-9


*CVTSI2SD xmm,reg         vector  vector  (FADD/FMUL)&FSTORE 14   0    1/99  REGWRITE-14
*CVTSI2SS xmm,reg         vector  vector  (FADD/FMUL)&FSTORE 14   0    1/99  REGWRITE-14


PFRCP    mm,mm           single  single  FMUL       3    2    1/1   FMUL-3
PFRSQRT  mm,mm           single  single  FMUL       3    2    1/1   FMUL-3
PMADDWD  xmm/mm,xmm/mm   single  single  FMUL       3    2    1/1   FMUL-3
PMULHUW  xmm,xmm         single  single  FMUL       3    2    1/1   FMUL-3
PMULHW   xmm,xmm         single  single  FMUL       3    2    1/1   FMUL-3
PMULLW   xmm,xmm         single  single  FMUL       3    2    1/1   FMUL-3
PMULUDQ  xmm,xmm         single  single  FMUL       3    2    1/1   FMUL-3
PMULHRW  mm,mm           single  single  FMUL       3    2    1/1   FMUL-3
PMULHUW  mm,mm           single  single  FMUL       3    2    1/1   FMUL-3
PMULHW   mm,mm           single  single  FMUL       3    2    1/1   FMUL-3
PMULLW   mm,mm           single  single  FMUL       3    2    1/1   FMUL-3
PMULUDQ  mm,mm           single  single  FMUL       3    2    1/1   FMUL-3
RCPPS    xmm,xmm         single  single  FMUL       3    2    1/1   FMUL-3
RCPSS    xmm,xmm         single  single  FMUL       3    2    1/1   FMUL-3
RSQRTPS  xmm,xmm         single  single  FMUL       3    2    1/1   FMUL-3
RSQRTSS  xmm,xmm         single  single  FMUL       3    2    1/1   FMUL-3


MULPD    xmm,xmm         single  single  FMUL       4    2    1/1   FMUL-4
MULPS    xmm,xmm         single  single  FMUL       4    2    1/1   FMUL-4
MULSD    xmm,xmm         single  single  FMUL       4    2    1/1   FMUL-4
MULSS    xmm,xmm         single  single  FMUL       4    2    1/1   FMUL-4
PFMUL    mm,mm           single  single  FMUL       4    2    1/1   FMUL-4
PFRCPIT1 mm,mm           single  single  FMUL       4    2    1/1   FMUL-4
PFRCPIT2 mm,mm           single  single  FMUL       4    2    1/1   FMUL-4
PFRSQIT1 mm,mm           single  single  FMUL       4    2    1/1   FMUL-4


DIVSS    xmm,xmm         single  single  FMUL       16   2    1/13  FDIV-16


DIVPS    xmm,xmm         single  single  FMUL       18   2    1/15  FDIV-18


DIVPD    xmm,xmm         single  single  FMUL       20   2    1/17  FDIV-20
DIVSD    xmm,xmm         single  single  FMUL       20   2    1/17  FDIV-20


SQRTSS   xmm,xmm         single  single  FMUL       19   2    1/18  FSQRT-19


SQRTPS   xmm,xmm         single  single  FMUL       21   2    1/18  FSQRT-21


SQRTPD   xmm,xmm         single  single  FMUL       27   2    1/24  FSQRT-27
SQRTSD   xmm,xmm         single  single  FMUL       27   2    1/24  FSQRT-27


FRSTOR   none            vector  vector  NONE       133  0    1/99  SPECIAL
FSAVE    none            vector  vector  NONE       162  0    1/99  SPECIAL
FXRSTOR  none            vector  vector  NONE       89   0    1/99  SPECIAL
FXSAVE   none            vector  vector  NONE       63   0    1/99  SPECIAL
*INSERTQ xxm,xxm         vector  vector  MULTIPLE   5    0    1/99  SPECIAL
*INSERTQ xxm,xxm,imm,imm vector  vector  MULTIPLE   5    0    1/99  SPECIAL
LDMXCSR  mem             vector  vector  NONE       12   0    1/99  SPECIAL
MASKMOVDQU xmm,xmm         vector  vector  NONE       99   0    1/99  SPECIAL
MASMOVQ  mm,mm           vector  vector  NONE       99   0    1/99  SPECIAL
STMXCSR  none            vectore vectore NONE       12   0    1/99  SPECIAL

/* General Purpose Instructions */

/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency;+Memory Latency;Throughput;Category       */
/*  By default, if an instruction has no character to its left, this means that there is always a 2-cycle difference */
/*  between that instruction have only xmm register operands and that instruction having a memory operand.          */
/*  Any instruction that has a memory operand as its second operand is a LOAD.                                       */
/*  Instructions with an * in front of them means that the operands must be inspected before you can tell which      */
/*  execution unit it will use, and therefore, its latency.							     */

/*  I'm actually not sure of the throughput of any of these instructions.  The instruction table doesn't have a      */
/*  throughput column, so I'm assuming that the throughput is 1/1, but this may need to be verified with             */
/*  microbenchmarks.       											     */
		

*ADC     reg,reg/imm     single  single  ALU        1    3    1/1   ALU-1 
*ADD     reg,reg/imm     single  single  ALU        1    3    1/1   ALU-1 
*AND     reg,reg/imm     single  single  ALU        1    3    1/1   ALU-1 
BSWAP    reg             single  single  ALU        1    0    1/1   ALU-1 
*BT      reg,reg/imm     single  single  ALU        1    0    1/1   ALU-1 
CMP      reg,reg/imm     single  single  ALU        1    3    1/1   ALU-1 
DEC      reg             single  single  ALU        1    3    1/1   ALU-1 
INC      reg             single  single  ALU        1    3    1/1   ALU-1 
NEG      reg             single  single  ALU        1    3    1/1   ALU-1 
NOT      reg             single  single  ALU        1    3    1/1   ALU-1 
*OR      reg,reg/imm     single  single  ALU        1    3    1/1   ALU-1 
*RCL     reg,1           single  single  ALU        1    0    1/1   ALU-1 
*RCR     reg,1           single  single  ALU        1    0    1/1   ALU-1 
ROL      reg,1/CL/imm    single  single  ALU        1    3    1/1   ALU-1 
ROR      reg,1/CL/imm    single  single  ALU        1    3    1/1   ALU-1 
*SAL     reg,1/CL/imm    single  single  ALU        1    0    1/1   ALU-1 
*SAR     reg,1/CL/imm    single  single  ALU        1    0    1/1   ALU-1 
*SBB     reg,reg/imm     single  single  ALU        1    3    1/1   ALU-1 
*SHL     reg,1/CL/imm    single  single  ALU        1    0    1/1   ALU-1 
*SHR     reg,1/CL/imm    single  single  ALU        1    0    1/1   ALU-1 
*SUB     reg,reg/imm     single  single  ALU        1    3    1/1   ALU-1 
*TEST    reg,reg/imm     single  single  ALU        1    0    1/1   ALU-1 
*XOR     reg,reg/imm     single  single  ALU        1    3    1/1   ALU-1 


CBW      none            single  single  NONE       1    0    1/1   NONE-1
CWDE     none            single  single  NONE       1    0    1/1   NONE-1
CDQE     none            single  single  NONE       1    0    1/1   NONE-1
CWD      none            single  single  NONE       1    0    1/1   NONE-1
CDQ      none            single  single  NONE       1    0    1/1   NONE-1
CQO      none            single  single  NONE       1    0    1/1   NONE-1
CLC      none            single  single  NONE       1    0    1/1   NONE-1
CLD      none            single  single  NONE       1    0    1/1   NONE-1
CMC      none            single  single  NONE       1    0    1/1   NONE-1
/*  The cc in CMOVcc is a condition code.  These are in the instruction manual,*/
/*  24594.pdf, page 91.                             
CMOVCC   reg,reg         single  single  NONE       1    3    1/1   NONE-1
/*  The cc in J cc is a condition code.  These are in the instruction manual,  */
/*  24594.pdf, page 130.                                                       */
JCC      disp            single  single  NONE       1    0    1/1   NONE-1

JMP      disp/reg        single  single  NONE       1    0    1/1   NONE-1

*MOV     reg,reg         single  single  NONE       1    0    1/1   NONE-1
MOVSX    reg,reg         single  single  NONE       1    3    1/1   NONE-1
MOVSXD   reg,reg         single  single  NONE       1    3    1/1   NONE-1
MOVZX    reg,reg         single  single  NONE       1    3    1/1   NONE-1
SAHF     none            single  single  NONE       1    0    1/1   NONE-1
/*  The cc in SET is a condition code.  These are in the instruction manual, 24594.pdf  */
/*  page 225.                                                                           */
SETCC    reg             single  single  NONE       1    2    1/1   NONE-1
STC      none            single  single  NONE       1    0    1/1   NONE-1


*BTC     reg,reg/imm     double  double  ALU        2    0    1/1   ALU-2 
*BTR     reg,reg/imm     double  double  ALU        2    0    1/1   ALU-2 
*BTS     reg,reg/imm     double  double  ALU        2    0    1/1   ALU-2 
LZCNT    reg,reg         single  single  ALU2       2    3    1/1   ALU-2 
POPCNT   reg,reg         single  single  ALU2       2    3    1/1   ALU-2 
*XADD    reg,reg         vectir  vectir  ALU        2    0    1/1   ALU-2 


JCXZ     disp            double  double  NONE       2    0    1/1   NONE-2
JECXZ    disp            double  double  NONE       2    0    1/1   NONE-2
JRCXZ    disp            double  double  NONE       2    0    1/1   NONE-2
STD      none            double  double  NONE       2    0    1/1   NONE-2
*XCHG    reg8,reg8       vector  vector  NONE       2    0    1/1   NONE-2


/*  According to the documentation on page 225 of the 40546.pdf manual, multiplication    */
/*  uses only the ALU0 execution unit.  Division doesn't need to use ALU0.                */
*IMUL    reg8            single  single  ALU0       3    0    1/1   ALU-3 
*MUL     reg8            single  single  ALU0       3    0    1/1   ALU-3 
*IMUL    reg16,reg16     single  single  ALU0       3    0    1/1   ALU-3 
*IMUL    reg32           double  double  ALU0       3    0    1/1   ALU-3 
*MUL     reg32           double  double  ALU0       3    0    1/1   ALU-3 
*IMUL    reg32,reg32     single  single  ALU0       3    0    1/1   ALU-3 
*IMUL    reg32,imm32     single  single  ALU0       3    3    1/1   ALU-3 
