,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,
54,,,,,,,21,,,,,,,,11,,,,,,,,2,,,,,,,,26,,,,,,,,17,,,,,,,,8,,19,25,3,9,12,6,,14,,,,,,,27,,
55,,,,,,,,13,,,,,,,,3,,,,,,,,22,,,,,,,,18,,,,,,,,9,,,,,,,,0,20,26,4,10,11,5,27,,,,,,,,,19,
56,12,,,,,,,,6,,,,,,,,24,,,,,,,,15,,,,,,,,11,,,,,,,,2,,,,,,,,21,,,,,,,,,20,26,4,3,25,19,13,
57,,20,,,,,,,,14,,,,,,,,4,,,,,,,,23,,,,,,,,19,,,,,,,,10,,,,,,,,1,,,,,,,7,,27,5,2,24,18,12,
58,,,0,,,,,,,,22,,,,,,,,12,,,,,,,,3,,,,,,,,27,,,,,,,,18,,,,,,,,9,,,,,,8,14,,6,1,23,17,11,
59,,,,8,,,,,,,,2,,,,,,,,20,,,,,,,,11,,,,,,,,7,,,,,,,,26,,,,,,,,17,,,,,9,15,21,,0,22,16,10,
60,,,,,8,,,,,,,,2,,,,,,,,20,,,,,,,,11,,,,,,,,7,,,,,,,,26,,,,,,,,17,,,,10,16,22,0,,21,15,9,
61,,,,,,0,,,,,,,,22,,,,,,,,12,,,,,,,,3,,,,,,,,27,,,,,,,,18,,,,,,,,9,,,11,17,23,1,6,,14,8,
62,,,,,,,20,,,,,,,,14,,,,,,,,4,,,,,,,,23,,,,,,,,19,,,,,,,,10,,,,,,,,1,,12,18,24,2,5,27,,7,
63,,,,,,,,12,,,,,,,,6,,,,,,,,24,,,,,,,,15,,,,,,,,11,,,,,,,,2,,,,,,,,21,13,19,25,3,4,26,20,,

