/* 64- and 128- Bit Instructions */
/*  Instruction;Operands;Operation;Decode Unit;Execution Unit;Base Latency; */
/*              +Memory Latency;Throughput;Category  */
/*  By default, if an instruction has no character to its left, this means */
/*  that there is always a 2-cycle difference between that instruction have */
/*  only xmmister operands and that instruction having a memory operand. */
/*  Any instruction that has a memory operand as its second operand is a */
/*  LOAD. Instructions with an * in front of them means that the operands */
/*  must be inspected before you can tell which        */
/*  execution it will use and, therefore, its latency. */

/* WALEED: notes, I'm making a line for each unique combination of operands */
/*   I'm also removing the memory + latency because that should be taken care of in the model and since */
/*   We are reading a detailed instruction mix, each line of which should hit in exactly one line here */ 
/* also, replaced all CL/.. references with 'reg' and constant '1''s with 'imm'
// all entries with unspecified reg size, replaced to reg8/16/32/64
// finally, entries with unspecified 'mem' size also replaced to mem8/mem16/mem32/mem64

PFMAX    mm,mm           ADD     single  FADD       2    0    1/1   FADD-2
PFMIN    mm,mm           ADD     single  FADD       2    0    1/1   FADD-2
MOVLHPS  xmm,xmm         MOV     single  FADD/FMUL  3    0    2/1   FADD-2
MOVHLPS  xmm,xmm         MOV     single  FADD/FMUL  3    0    2/1   FADD-2
MOVLHPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FADD-2
MOVHLPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FADD-2
MOVLHPS  mem,xmm         MOV     single  FSTORE     4    0    1/1   FADD-2
MOVHLPS  mem,xmm         MOV     single  FSTORE     4    0    1/1   FADD-2


*MOVSD   xmm,xmm         MOV     single  FADD/FMUL              2    0    2/1   FADD-2
*MOVSD   xmm,mem         MOV     single  FADD/FMUL/FSTORE       2    0    2/1   FLOAD-2
*MOVSD   mem,xmm         MOV     single  FSTORE                 2    0    1/1   FSTORE-2
*MOVSS   xmm,xmm         MOV     single  FADD/FMUL              2    0    2/1   FADD-2
*MOVSS   mem,xmm         MOV     single  FSTORE                 2    0    1/1   FSTORE-2
*MOVSS   xmm,mem         MOV     single  FADD/FMUL/FSTORE       2    0    2/1   FLOAD-2

*MOVSHDUP xmm,xmm        MOV     single  FADD/FMUL         2    0    2/1   FADD-2
*MOVSHDUP xmm,mem        MOV     single  FSTORE            2    0    2/1   FLOAD-2
*MOVSLDUP xmm,xmm        MOV     single  FADD/FMUL         2    0    2/1   FADD-2
*MOVSLDUP xmm,mem        MOV     single  FSTORE            2    0    2/1   FLOAD-2
EXTRQ    xmm,xmm/imm,imm ADD     single  FADD/FMUL         2    0    2/1   FADD-2
EXTRQ    mem,xmm/imm,imm ADD     single  FADD/FMUL/FSTORE  2    0    2/1   FADD-2

*PACKSSDW mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKSSDW mm,mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKSSWB mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKSSWB mm,mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKUSWB mm,xmm/mm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKUSWB mm,mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKSSDW mm,mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
*PACKSSWB xmm,xmm/mm   ADD     single  FADD/FMUL  3    0    2/1   FADD-2
*PACKUSWB xmm,xmm/mm   ADD     single  FADD/FMUL  3    0    2/1   FADD-2
*PACKSSDW xmm,mem   ADD     single  FADD/FMUL  3    0    2/1   FADD-2
*PACKSSWB xmm,mem   ADD     single  FADD/FMUL  3    0    2/1   FADD-2
*PACKUSWB xmm,mem   ADD     single  FADD/FMUL  3    0    2/1   FADD-2

PADDB    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDW    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDD    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDQ    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDSB   xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDSW   xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDUSB  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PADDUSW  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PAVGB    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PAVGW    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PAVGUSB  mm,mm/mem           ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPEQB  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPEQW  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPEQD  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPGTB  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPGTW  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PCMPGTD  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PMAXSW   xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PMAXUB   xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PMINSW   xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PMINUB   xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2  

PSHUFD   xmm,xmm/mem,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSHUFW   mm,mm/mem,imm           ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSHUFHW  xmm,xmm/mem,imm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSHUFLW  xmm,xmm/mem,imm         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSLLW    xmm/mm,xmm/mm/mem/imm   ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSLLD    xmm/mm,xmm/mm/mem/imm   ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSLLQ    xmm/mm,xmm/mm/mem/imm   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSLLDQ   xmm,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSRAW    xmm,xmm/mem/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRAD    xmm,xmm/mem/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRLW    xmm,xmm/mem/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRLD    xmm,xmm/mem/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRLQ    xmm,xmm/mem/imm ADD single  FADD/FMUL  3    0    2/1   FADD-2
PSRAW    mm,mm/mem/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRAD    mm,mm/mem/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRLW    mm,mm/mem/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRLD    mm,mm/mem/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRLQ    mm,mm/mem/imm ADD single  FADD/FMUL  2    0    2/1   FADD-2
PSRLDQ   xmm,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PSUBB    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBW    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBD    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBQ    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBSB   xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBSW   xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBUSB  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSUBUSW  xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PSWAPD   mm,mm           ADD     single  FADD/FMUL  2    0    2/1   FADD-2

PUNPCKHBW mm,mm/mem  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKHWD mm,mm/mem  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKHDQ mm,mm/mem  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKLBW mm,mm/mem  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKLWD mm,mm/mem  ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PUNPCKLDQ mm,mm/mem  ADD     single  FADD/FMUL  2    0    2/1   FADD-2

PUNPCKHBW xmm,xmm/mem  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKHWD xmm,xmm/mem  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKHDQ xmm,xmm/mem  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKLBW xmm,xmm/mem  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKLWD xmm,xmm/mem  ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKLDQ xmm,xmm/mem  ADD     single  FADD/FMUL  3    0    2/1   FADD-2


PUNPCKHQDQ xmm,xmm/mem       ADD     single  FADD/FMUL  3    0    2/1   FADD-2
PUNPCKLQDQ xmm,xmm/mem       ADD     single  FADD/FMUL  3    0    2/1   FADD-2

PXOR     xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PAND     xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
PANDN    xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2
POR      xmm/mm,xmm/mm/mem   ADD     single  FADD/FMUL  2    0    2/1   FADD-2

SHUFPD   xmm,xmm/mem,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2
SHUFPS   xmm,xmm/mem,imm         ADD     single  FADD/FMUL  3    0    2/1   FADD-2

UNPCKHPD xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
UNPCKHPS xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
UNPCKLPD xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
UNPCKLPS xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2

XORPD    xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
XORPS    xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ORPD    xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ORPS    xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ANDPD    xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ANDPS    xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ANDNPD    xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2
ANDNPS    xmm,xmm/mem         ADD     single  FADD/FMUL  2    0    2/1   FADD-2



MOVMSKPD reg32/reg64,xmm         MOV     single  FADD       3    0    1/1   FADD-3
MOVMSKPS reg32/reg64,xmm         MOV     single  FADD       3    0    1/1   FADD-3
PMOVMSKB reg32/reg64,xmm/mm      ADD     single  FADD       3    0    1/1   FADD-3
COMISD   xmm,xmm/mem         ADD     single  FADD       3    0    1/1   FADD-3
COMISS   xmm,xmm/mem         ADD     single  FADD       3    0    1/1   FADD-3
PSADBW   xmm/mm,xmm/mm/mem   ADD     single  FADD       3    0    1/1   FADD-3
UCOMISD  xmm,xmm/mem         ADD     single  FADD       3    0    1/1   FADD-3
UCOMISS  xmm,xmm/mem         ADD     single  FADD       3    0    1/1   FADD-3

ADDPD    xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
ADDPS    xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
ADDSD    xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
ADDSS    xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
SUBPD    xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
SUBPS    xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
SUBSD    xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
SUBSS    xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4

ADDSUBPD xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
ADDSUBPS xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
HADDPD   xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
HADDPS   xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
HSUBPD   xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4
HSUBPS   xmm,xmm/mem         ADD     single  FADD       4    0    1/1   FADD-4

PF2ID    mm,mm           ADD     single  FSTORE       5    0    1/1   FADD-5
PF2IW    mm,mm           ADD     single  FSTORE       5    0    1/1   FADD-5
PI2FD    mm,mm           ADD     single  FSTORE       5    0    1/1   FADD-5
PI2FW    mm,mm           ADD     single  FSTORE       5    0    1/1   FADD-5

PFACC    mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFADD    mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFNACC   mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFPNACC  mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFSUB    mm,mm           ADD     single  FADD       4    0    1/1   FADD-4
PFSUBR   mm,mm           ADD     single  FADD       4    0    1/1   FADD-4

*PINSRW  xmm/mm,reg32/reg64/mem,imm     ADD     double  FADD/FMUL  9    0    1/3   FADD-9

*MOVHPD  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVHPD  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVHPS  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVHPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVLPD  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVLPD  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4
*MOVLPS  mem,xmm         MOV     single  FSTORE     2    0    1/1   FSTORE-2
*MOVLPS  xmm,mem         MOV     single  FADD/FMUL  4    0    2/1   FLOAD-4

/* The instruction latency is not given for these instructions in manual */
/* 40546.pdf, pg 261               */
MOVNTDQ  mem,xmm         MOV     double  FMUL&FSTORE     3   0    1/1  FSTORE-X
MOVNTPD  mem,xmm         MOV     double  FMUL&FSTORE     3   0    1/3  FSTORE-X
MOVNTPS  mem,xmm         MOV     double  FMUL&FSTORE     3   0    1/3  FSTORE-X
MOVNTSD  mem,xmm         MOV     double  FSTORE     3   0    1/1  FSTORE-X
MOVNTSS  mem,xmm         MOV     double  FSTORE     3   0    1/1  FSTORE-X
MOVNTQ   mem,mm          MOV     single  FSTORE     3   0    1/1  FSTORE-X

LDDQU    xmm,mem         LOAD    single  FSTORE     2    0    2/1   FLOAD-2

CVTPS2PD xmm,xmm/mem         CNVT    single  FSTORE     2    0    1/1   REGWRITE-2
CVTPD2PS xmm,xmm/mem         CNVT    double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTSD2SS xmm,xmm/mem         CNVT    vector  (FADD/FMUL)&FSTORE 8    0  1/2  REGWRITE-8
*CVTSS2SD xmm,xmm/mem   ADD/WRITE vector  (FADD/FMUL)&FSTORE 7  0  1/2  REGWRITE-7
CVTDQ2PS xmm,xmm/mem         CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTDQ2PD xmm,xmm/mem         CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTPS2DQ xmm,xmm/mem         CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTTPS2DQ xmm,xmm/mem        CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTPD2DQ xmm,xmm/mem    ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTTPD2DQ xmm,xmm/mem   ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTPI2PS xmm,mm/mem     ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTPI2PD xmm,mm/mem          CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTPS2PI mm,xmm/mem          CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTTPS2PI mm,xmm/mem         CNVT    single  FSTORE     4    0    1/1   REGWRITE-4
CVTPD2PI mm,xmm/mem     ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
CVTTPD2PI mm,xmm/mem    ADD/WRITE double  (FADD/FMUL)&FSTORE 7    0  1/1  REGWRITE-7
*CVTSI2SS xmm/reg32/reg64/reg32/reg64,mem  ADD/WRITE double  (FADD/FMUL)&FSTORE 9    0  1/1  REGWRITE-9
*CVTSI2SS xmm/reg32/reg64,xmm/reg32/reg64  ADD/WRITE vector  (FADD/FMUL)&FSTORE 14   0  1/3  REGWRITE-14
*CVTSI2SD xmm/reg32/reg64,mem  ADD/WRITE double  (FADD/FMUL)&FSTORE 9    0  1/1  REGWRITE-9 
*CVTSI2SD xmm/reg32/reg64,xmm/reg32/reg64  ADD/WRITE vector  (FADD/FMUL)&FSTORE 14   0  1/3  REGWRITE-14
CVTSD2SI  reg32/reg64,xmm/mem         ADD/WRITE double  FADD&FSTORE 8   0   1/1  REGWRITE-8
CVTTSD2SI reg32/reg64,xmm/mem        ADD/WRITE double  FADD&FSTORE 8   0   1/1  REGWRITE-8
CVTSS2SI  reg32/reg64,xmm/mem         ADD/WRITE double  FADD&FSTORE 8   0   1/1  REGWRITE-8
CVTTSS2SI reg32/reg64,xmm/mem        ADD/WRITE double  FADD&FSTORE 8   0   1/1  REGWRITE-8
*CVTSS2SS xmm,xmm/mem   ADD/WRITE vector  (FADD/FMUL)&FSTORE 8  0  1/1  REGWRITE-8

PEXTRW   reg32/reg64/mem,xmm/mm,imm  ADD/WRITE double FADD&FSTORE 6   0   1/1   REGWRITE-6


PFRCP    mm,mm           FMUL    single  FMUL       3    0    1/1   FMUL-3
PFRSQRT  mm,mm           FMUL    single  FMUL       3    0    1/1   FMUL-3

PMADDWD  xmm/mm,xmm/mm/mem   FMUL    single  FMUL       3    0    1/1   FMUL-3

PMULHUW  xmm/mm,xmm/mm/mem         FMUL    single  FMUL       3    0    1/1   FMUL-3
PMULHW   xmm/mm,xmm/mm/mem         FMUL    single  FMUL       3    0    1/1   FMUL-3
PMULLW   xmm/mm,xmm/mm/mem         FMUL    single  FMUL       3    0    1/1   FMUL-3
PMULUDQ  xmm/mm,xmm/mm/mem         FMUL    single  FMUL       3    0    1/1   FMUL-3
PMULHRW  xmm/mm,xmm/mm/mem           FMUL    single  FMUL       3    0    1/1   FMUL-3

RCPPS    xmm,xmm/mem         FMUL    single  FMUL       3    0    1/1   FMUL-3
RCPSS    xmm,xmm/mem         FMUL    single  FMUL       3    0    1/1   FMUL-3
RSQRTPS  xmm,xmm/mem         FMUL    single  FMUL       3    0    1/1   FMUL-3
RSQRTSS  xmm,xmm/mem         FMUL    single  FMUL       3    0    1/1   FMUL-3

MULPD    xmm,xmm/mem         FMUL    single  FMUL       4    0    1/1   FMUL-4
MULPS    xmm,xmm/mem         FMUL    single  FMUL       4    0    1/1   FMUL-4
MULSD    xmm,xmm/mem         FMUL    single  FMUL       4    0    1/1   FMUL-4
MULSS    xmm,xmm/mem         FMUL    single  FMUL       4    0    1/1   FMUL-4

PFMUL    mm,mm           FMUL    single  FMUL       4    0    1/1   FMUL-4
PFRCPIT1 mm,mm           FMUL    single  FMUL       4    0    1/1   FMUL-4
PFRCPIT2 mm,mm           FMUL    single  FMUL       4    0    1/1   FMUL-4
PFRSQIT1 mm,mm           FMUL    single  FMUL       4    0    1/1   FMUL-4

DIVSS    xmm,xmm/mem         FDIV    single  FMUL       16   0    1/13  FDIV-16
DIVPS    xmm,xmm/mem         FDIV    single  FMUL       18   0    1/15  FDIV-18
DIVPD    xmm,xmm/mem         FDIV    single  FMUL       20   0    1/17  FDIV-20
DIVSD    xmm,xmm/mem         FDIV    single  FMUL       20   0    1/17  FDIV-20

SQRTSS   xmm,xmm/mem         SQRT    single  FMUL       19   0    1/18  FSQRT-19
SQRTPS   xmm,xmm/mem         SQRT    single  FMUL       21   0    1/18  FSQRT-21
SQRTPD   xmm,xmm/mem         SQRT    single  FMUL       27    0    1/24  FSQRT-27
